название,единица_измерения,цена
ДСМ,,1805.0
ДВП,,390.0
"ДВП 2,5х1700х2745 тверд. марка Т гр Б",шт,360.0
"ДВП 3,2х1700х2745 тверд. марка Т гр Б",шт,380.0
"ДВП 3,4х1700х2745 тверд. марка Т гр Б",шт,390.0
ДСП,,1950.0
ДСП упаковка,шт,1395.0
МДФ,,1805.0
МДФ 06х2070х2800,шт,1132.0
МДФ 08х2070х2800,шт,1438.0
МДФ 10х2070х2800,шт,1805.0
ОСП,,
ОСП-3 06x1250x2500,шт,730.0
ОСП-3 09x1220x2440,шт,770.0
ОСП-3 09x1250x2500,шт,810.0
ОСП-3 12x1250x2500,шт,1110.0
ОСП-3 15x1250x2500,шт,1370.0
ОСП-3 18x1220x2440,шт,1490.0
ОСП-3 18x1250x2500,шт,1620.0
Фанера,,1183.0
Фанера ламинированная,,3233.0
Фанера ламинированная 06х2440х1220 (1/1),шт,1663.0
Фанера ламинированная 09х2440х1220 (1/1),шт,2152.0
Фанера ламинированная 12х2440х1220 (1/1),шт,2509.0
Фанера ламинированная 15х2440х1220 (1/1),шт,2887.0
Фанера ламинированная 18х2440х1220 (1/1),шт,3233.0
Фанера ламинированная 18х2440х1220 (1/1) Плайтерра,шт,3233.0
Фанера неламинированная,,663.0
Фанера 03x1525x1525 ш2 ФК (2/4),шт,449.0
Фанера 03x1525x1525 ш2 ФК (3/4),шт,439.0
Фанера 04x1525x1525 ш2 ФК (2/4),шт,551.0
Фанера 04x1525x1525 ш2 ФК (3/4),шт,530.0
Фанера 05x1525x1525 ш2 ФК (2/4),шт,663.0
Фанера 05x1525x1525 ш2 ФК (3/4),шт,632.0
Фанера 06x1525x1525 ш2 ФК (2/4),шт,775.0
Фанера 06x2440x1220 ш2 ФСФ (2/3),шт,1326.0
Фанера 06x2440x1220 ш2 ФСФ (3/4),шт,1275.0
Фанера 08x1525x1525 ш2 ФК (2/4),шт,1051.0
Фанера 08x1525x1525 ш2 ФК(3/4),шт,969.0
Фанера 09x1525x1525 ш2 ФК (2/4),шт,1091.0
Фанера 09x1525x1525 ш2 ФК (3/4),шт,1040.0
Фанера 10x1525x1525 ш2 ФК (3/4),шт,1142.0
Фанера 12x1525x1525 ш2 ФК (2/4),шт,1469.0
Фанера 12x2440x1220 ш2 ФСФ (3/4),шт,2071.0
Фанера 15x1525x1525 ш2 ФК (3/4),шт,1734.0
Фанера 18x2440x1220 ш2 ФСФ (2/3),шт,2938.0
Фанера неламинированная хвойная,,1183.0
Фанера 09x2440x1220 хв ш2 ФСФ,шт,1510.0
Фанера 12x2440x1220 хв ш2 ФСФ,шт,1897.0
Фанера 15x2440x1220 хв ш2 ФСФ,шт,2224.0
Фанера 18x2440x1220 хв ш2 ФСФ,шт,2632.0
Фанера 6.5x2440x1220 хв ш2 ФСФ,шт,1183.0
Лес,,180.0
Пиломатериалы,,
Доска / Брус,,
Пиломатериалы НЕЛИКВИД,,180.0
Дрова хвойные (мешок),шт,180.0
Металл,,40.0
Метизы,,225.0
Болты,,225.0
Болт М10х100,кг,225.0
Болт М10х120,кг,225.0
Болт М10х150,кг,225.0
Болт М10х30,кг,225.0
Болт М10х40,кг,225.0
Болт М10х50,кг,225.0
Болт М10х60,кг,225.0
Болт М10х70,кг,225.0
Болт М10х90,кг,225.0
Болт М12х100,кг,225.0
Болт М12х120,кг,225.0
Болт М12х40,кг,225.0
Болт М12х50,кг,225.0
Болт М12х60,кг,225.0
Болт М12х70,кг,225.0
Болт М12х90,кг,225.0
Болт М14х100,кг,225.0
Болт М14х40,кг,225.0
Болт М14х50,кг,225.0
Болт М14х60,кг,225.0
Болт М14х70,кг,225.0
Болт М14х80,кг,225.0
Болт М16х100,кг,225.0
Болт М16х120,кг,225.0
Болт М16х40,кг,225.0
Болт М16х50,кг,225.0
Болт М16х60,кг,225.0
Болт М16х70,кг,225.0
Болт М16х80,кг,225.0
Болт М18х120,кг,225.0
Болт М18х50,кг,225.0
Болт М18х60,кг,225.0
Болт М18х70,кг,225.0
Болт М18х80,кг,225.0
Болт М20х100,кг,225.0
Болт М20х120,кг,225.0
Болт М20х150,кг,225.0
Болт М20х180,кг,225.0
Болт М20х50,кг,225.0
Болт М20х60,кг,225.0
Болт М20х70,кг,225.0
Болт М20х80,кг,225.0
Болт М22х100,кг,225.0
Болт М22х120,кг,225.0
Болт М22х170,кг,225.0
Болт М22х70,кг,225.0
Болт М22х80,кг,225.0
Болт М24х100,кг,225.0
Болт М24х120,кг,225.0
Болт М24х150,кг,225.0
Болт М24х70,кг,225.0
Болт М24х80,кг,225.0
Болт М27х100,кг,225.0
Болт М27х120,кг,225.0
Болт М27х150,кг,225.0
Болт М27х180,кг,225.0
Болт М27х80,кг,225.0
Болт М30х100,кг,225.0
Болт М30х90,кг,225.0
Болт М6х20,кг,225.0
Болт М6х25,кг,225.0
Болт М6х40,кг,225.0
Болт М6х40 резьба до головки,кг,225.0
Болт М6х50,кг,225.0
Болт М6х50 резьба до головки,кг,225.0
Болт М8х20,кг,225.0
Болт М8х25,кг,225.0
Болт М8х40,кг,225.0
Болт М8х50,кг,225.0
Болт М8х60,кг,225.0
Болт М8х70,кг,225.0
Болт М8х80,кг,225.0
Болты ТК,,440.0
Болт DIN 933 10х120 ТК,шт,33.0
Болт DIN 933 12х100 ТК,шт,40.0
Болт DIN 933 12х70 ТК,шт,30.0
Болт DIN 933 16х60 ТК,шт,62.0
Болт DIN 933 6х60 ТК,шт,7.0
Болт DIN 933 6х70 ТК,шт,7.0
Болт DIN 933 8х100 ТК,шт,16.0
"Болт DIN 933 8х40 кл 8,8 оц ТК",кг,440.0
Болт DIN 933 8х70 ТК,шт,12.0
"Болт DIN 933 М10х100 ТК кл 5,8 оц",кг,440.0
Болт DIN 933 М10х120 ТК,шт,30.0
"Болт DIN 933 М10х120 ТК кл 8,8 оц",кг,440.0
"Болт DIN 933 М10х40 ТК кл 5,8 оц",кг,440.0
"Болт DIN 933 М12х100 ТК кл 8,8 оц",кг,440.0
Болт DIN 933 М14х70 ТК,шт,45.0
"Болт DIN 933 М18х100 5,8 оц",кг,440.0
"Болт DIN 933 М6х40 ТК кл 8,8 оц",кг,440.0
"Болт DIN 933 М6х70 ТК кл 5,8 оц",кг,440.0
Болт DIN 933 М8х100 ТК,шт,17.0
Болт М12х50 ТК,кг,430.0
Болт М14х70 ТК,шт,48.0
Болт М16х100 ТК,кг,460.0
Болт М20х60 ТК,шт,115.0
Болт М24х100 ТК,кг,460.0
Болт М8х20 ТК,кг,530.0
"Дюбель распорный Tchappai 10х60 (усы, шипы)ТК",шт,9.0
Гайки,,225.0
Гайка М10,кг,225.0
Гайка М12,кг,225.0
Гайка М14,кг,225.0
Гайка М16,кг,225.0
Гайка М18,кг,225.0
Гайка М20,кг,225.0
Гайка М22,кг,225.0
Гайка М24,кг,225.0
Гайка М27,кг,225.0
Гайка М30,кг,225.0
Гайка М6,кг,225.0
Гайка М8,кг,225.0
Гайки оцинкованные,,310.0
Гайка М10 оцинк,кг,325.0
Гайка М12 оцинк,кг,310.0
Гайка М14 оцинк,кг,310.0
Гайка М16 оцинк,кг,310.0
Гайка М18 оцинк,кг,310.0
Гайка М20 оцинк,кг,310.0
Гайка М6 оцинк,кг,310.0
Гайка М8 оцинк,кг,310.0
Гвозди,,93.0
"Гвозди  1,2х20",кг,108.0
"Гвозди  1,4х25",кг,108.0
"Гвозди  1,8х32",кг,93.0
"Гвозди  1,8х40",кг,93.0
"Гвозди  2,0х40",кг,93.0
"Гвозди  2,5х50",кг,83.0
"Гвозди  2,5х50 МГ",кг,85.0
"Гвозди  2,5х60",кг,83.0
"Гвозди  3,0х70",кг,81.0
"Гвозди  3,0х70 МГ",кг,81.0
"Гвозди  3,0х80",кг,81.0
"Гвозди  3,0х80 МГ",кг,81.0
"Гвозди  3,5х90",кг,81.0
"Гвозди  3,5х90 МГ",кг,81.0
"Гвозди  4,0х100",кг,81.0
"Гвозди  4,0х100 МГ",кг,81.0
"Гвозди  4,0х120",кг,81.0
"Гвозди  4,0х120 МГ",кг,81.0
"Гвозди  5,0х150",кг,81.0
"Гвозди  5,0х150 МГ",кг,81.0
"Гвозди  6,0х200",кг,81.0
Гвозди ЗТТА,,78.0
"Гвозди  3,0х70 ЗТТА",кг,78.0
"Гвозди  3,0х80 ЗТТА",кг,78.0
"Гвозди  3,5х90 ЗТТА",кг,78.0
"Гвозди  4,0х120 ЗТТА",кг,78.0
"Гвозди  5,0х150 ЗТТА",кг,78.0
Прочие метизы,,95.0
Анкер клиновой 10х90 ТК,шт,32.0
Дюбель гвоздь с пластмассовой шайбой 32 Китай,кг,450.0
Дюбель гвоздь с пластмассовой шайбой 42 Китай,кг,450.0
Дюбель полипропиленовый 10х100мм,шт,15.0
Зажим для стальных канатов М6ТК,шт,30.0
Ключ для чироза Китай,шт,1525.0
Метал рамный дюбель 10х182 ТК,шт,25.0
"Саморез для креп фасадных плит 6,3/5,5х155 ТК",шт,20.0
"Саморез для креп фасадных плит 6,3/5,5х182 ТК",шт,25.0
"Тайрот стяжной болт 1,20м (стержень,2шт гайки)",шт,620.0
"Тайрот стяжной болт 1,50м (стержень,2шт гайки)",шт,750.0
"Тайрот стяжной болт 1м (стержень,2шт гайки)",шт,600.0
"Тайрот стяжной болт 2,0м (стержень,2шт гайки)",шт,850.0
Хомут для труб  ф 38-42 ТК,шт,95.0
Чироз зажим пружинный Китай,шт,110.0
"Шуруп 6,3/5,5х135",шт,20.0
Анкерные болты,,260.0
Анкер забивной М14 ТК,шт,35.0
Анкер кольцо 10х60 ТК,шт,48.0
Анкер кольцо 12х100 ТК,шт,100.0
Анкер кольцо 12х80 Китай,шт,55.0
Анкер кольцо 16х110 ТК,шт,110.0
Анкер латуный М10 ТК,шт,30.0
Анкер латуный М12 ТК,шт,45.0
Анкер латуный М8 ТК,шт,30.0
Анкер фикс М10х16 ТК,шт,50.0
Анкер фикс М8х14 ТК,шт,40.0
Анкер-клин для подвесных потолков 6х40 Китай,шт,5.0
Анкер-клин для подвесных потолков 6х40 ТК,шт,7.0
Анкер-клин для подвесных потолков 6х60 Китай,шт,6.0
Анкер-клин для подвесных потолков 6х60 ТК,шт,10.0
Анкерный болт под гайку 10х100 Китай,шт,35.0
Анкерный болт под гайку 10х120 Китай,шт,40.0
Анкерный болт под гайку 10х150 Китай,шт,50.0
Анкерный болт под гайку 10х150 ТК,шт,50.0
Анкерный болт под гайку 10х200 Китай,шт,50.0
Анкерный болт под гайку 10х200 ТК,шт,65.0
Анкерный болт под гайку 10х60 ТК,шт,30.0
Анкерный болт под гайку 10х65 ТК,шт,30.0
Анкерный болт под гайку 10х97 ТК,шт,35.0
Анкерный болт под гайку 12х100 Китай,шт,32.0
Анкерный болт под гайку 12х100 ТК,шт,45.0
Анкерный болт под гайку 12х120 Китай,шт,40.0
Анкерный болт под гайку 12х129 ТК,шт,60.0
Анкерный болт под гайку 12х150 ТК,шт,65.0
Анкерный болт под гайку 12х180 Китай,шт,60.0
Анкерный болт под гайку 12х200 Китай,шт,60.0
Анкерный болт под гайку 12х200 ТК,шт,105.0
Анкерный болт под гайку 12х250Китай,шт,70.0
Анкерный болт под гайку 12х99 ТК,шт,45.0
Анкерный болт под гайку 14х100 Китай,шт,60.0
Анкерный болт под гайку 14х100 ТК,шт,55.0
Анкерный болт под гайку 14х150 ТК,шт,85.0
Анкерный болт под гайку 14х200 Китай,шт,70.0
Анкерный болт под гайку 16х150 Китай,шт,75.0
Анкерный болт под гайку 16х150 ТК,шт,125.0
Анкерный болт под гайку 16х200 ТК,шт,140.0
Анкерный болт под гайку 20х150 ТК,шт,175.0
Анкерный болт под гайку 20х200 ТК,шт,260.0
Анкерный болт под гайку 8х100 Китай,шт,25.0
Анкерный болт под гайку 8х65 ТК,шт,38.0
Анкерный болт под гайку 8х80 ТК,шт,26.0
Гайки ТК,,30.0
Гайка DIN 934 М16 кл.6 оц.ТК,кг,480.0
Гайка М16 ТК,кг,510.0
Гайка М24 ТК,кг,480.0
Гайка М30 ГОСТ 5915-70 кл 8 оц.,кг,490.0
Гайка М36 ТК,кг,490.0
Гайка переходная (муфта) М10 ТК,шт,45.0
Гайка переходная (муфта) М12 ТК,шт,45.0
Гайка переходная (муфта) М8 ТК,шт,30.0
Дюбель-гвозди для бетона,,350.0
Дюбель-гвоздь для бетона 100,кг,350.0
Дюбель-гвоздь для бетона 30,кг,350.0
Дюбель-гвоздь для бетона 40,кг,350.0
Дюбель-гвоздь для бетона 50,кг,350.0
Дюбель-гвоздь для бетона 60,кг,350.0
Дюбель-гвоздь для бетона 70,кг,350.0
Дюбель-гвоздь для бетона 80,кг,350.0
Заклепки,,580.0
"Заклепки 3,2х12 Китай",кг,480.0
"Заклепки 3,2х8 Китай",кг,780.0
"Заклепки 4,0х16 Китай",кг,600.0
"Заклепки 4,8х20 Китай",кг,570.0
"Заклепки 4,8х25 Китай",кг,535.0
Заклепки 4х13 Китай,кг,580.0
Заклепки 4х18 Китай,кг,625.0
Заклепки 5х20 Китай,кг,505.0
Заклепки 6х18 Китай,кг,530.0
Монтажные шурупы,,360.0
"Монтажный шуруп 7,5х112 Китай",кг,360.0
"Монтажный шуруп 7,5х132 Китай",кг,360.0
"Монтажный шуруп 7,5х152 Китай",кг,360.0
"Монтажный шуруп 7,5х182 Китай",кг,360.0
"Монтажный шуруп 7,5х202 Китай",кг,360.0
"Монтажный шуруп 7,5х92 Китай",кг,360.0
Шпильки Китай,,405.0
Шпилька резьбовая М10,шт,120.0
"Шпилька резьбовая М10(6,80)",шт,110.0
Шпилька резьбовая М12 Кит,шт,175.0
"Шпилька резьбовая М12(4,80)",шт,160.0
"Шпилька резьбовая М12(6,80)",шт,170.0
Шпилька резьбовая М14 Кит,шт,260.0
"Шпилька резьбовая М14(4,80)",шт,200.0
"Шпилька резьбовая М14(6,80)",шт,210.0
Шпилька резьбовая М16 Кит,шт,300.0
Шпилька резьбовая М18 Кит,шт,405.0
Шпилька резьбовая М20 Кит,шт,608.0
Шпилька резьбовая М6 Кит,шт,65.0
"Шпилька резьбовая М6(4,80)",шт,40.0
"Шпилька резьбовая М8(6,80)",шт,80.0
Шпильки ТК,,260.0
Шпилька DIN975 22х1000 Class A ТК,шт,580.0
Шпилька резьбовая TR 16х1000 ТК,шт,340.0
Шпилька резьбовая TR 18х1000 ТК,шт,380.0
Шпилька резьбовая М10 ТК,шт,135.0
Шпилька резьбовая М12 ТК,шт,200.0
Шпилька резьбовая М12х2000 ТК,шт,390.0
Шпилька резьбовая М14 ТК,шт,225.0
Шпилька резьбовая М18 ТК,шт,400.0
Шпилька резьбовая М20 ТК,шт,520.0
Шпилька резьбовая М22 ТК,шт,680.0
Шпилька резьбовая М24х1000 ТК,шт,740.0
Шпилька резьбовая М30 ТК,шт,1250.0
Шпилька резьбовая М6 ТК,шт,85.0
Шпилька резьбовая М8 ТК,шт,135.0
